START_DATE,START_DATE,START_TIME,END_DATE,END_DATE,END_TIME,TIME DIFF(MINS),HOURS,CATEGORY,START,STOP,MILES,SPEED,PURPOSE
12-20-2016 11:30,20-12-2016,11:30:00 AM,12-20-2016 12:17,20-12-2016,12:17:00 PM,12:47:00 AM,0.78,Business,Rawalpindi,Unknown Location,19.4,24.8,Meeting
12-20-2016 13:14,20-12-2016,01:14:00 PM,12-20-2016 13:20,20-12-2016,01:20:00 PM,12:06:00 AM,0.10,Business,Unknown Location,Unknown Location,1.7,17.0,Errand/Supplies
12-20-2016 13:54,20-12-2016,01:54:00 PM,12-20-2016 14:17,20-12-2016,02:17:00 PM,12:23:00 AM,0.38,Business,Unknown Location,Islamabad,5.7,14.9,Temporary Site
12-20-2016 16:14,20-12-2016,04:14:00 PM,12-20-2016 16:24,20-12-2016,04:24:00 PM,12:10:00 AM,0.17,Business,Islamabad,Islamabad,1.8,10.8,Errand/Supplies
12-20-2016 16:56,20-12-2016,04:56:00 PM,12-20-2016 17:07,20-12-2016,05:07:00 PM,12:11:00 AM,0.18,Business,Islamabad,Islamabad,1.4,7.6,Errand/Supplies
12-20-2016 18:47,20-12-2016,06:47:00 PM,12-20-2016 19:21,20-12-2016,07:21:00 PM,12:34:00 AM,0.57,Business,Islamabad,Unknown Location,10.3,18.2,Customer Visit
12-21-2016 7:42,21-12-2016,07:42:00 AM,12-21-2016 8:10,21-12-2016,08:10:00 AM,12:28:00 AM,0.47,Business,Unknown Location,Unknown Location,11.5,24.6,Meeting
12-21-2016 10:14,21-12-2016,10:14:00 AM,12-21-2016 10:30,21-12-2016,10:30:00 AM,12:16:00 AM,0.27,Business,Unknown Location,Islamabad,4.9,18.4,Errand/Supplies
12-21-2016 11:35,21-12-2016,11:35:00 AM,12-21-2016 11:49,21-12-2016,11:49:00 AM,12:14:00 AM,0.23,Business,Islamabad,Unknown Location,3.5,15.0,Meal/Entertain
12-21-2016 12:51,21-12-2016,12:51:00 PM,12-21-2016 13:33,21-12-2016,01:33:00 PM,12:42:00 AM,0.70,Business,Unknown Location,Unknown Location,16.2,23.1,Meeting
12-21-2016 15:38,21-12-2016,03:38:00 PM,12-21-2016 15:49,21-12-2016,03:49:00 PM,12:11:00 AM,0.18,Business,Unknown Location,Unknown Location,2,10.9,Errand/Supplies
12-21-2016 15:55,21-12-2016,03:55:00 PM,12-21-2016 16:05,21-12-2016,04:05:00 PM,12:10:00 AM,0.17,Business,Unknown Location,Islamabad,2.1,12.6,Errand/Supplies
12-21-2016 17:45,21-12-2016,05:45:00 PM,12-21-2016 17:54,21-12-2016,05:54:00 PM,12:09:00 AM,0.15,Business,Islamabad,Islamabad,2.1,14.0,Meeting
12-21-2016 17:59,21-12-2016,05:59:00 PM,12-21-2016 18:31,21-12-2016,06:31:00 PM,12:32:00 AM,0.53,Business,Islamabad,Unknown Location,7.2,13.5,Customer Visit
12-21-2016 19:49,21-12-2016,07:49:00 PM,12-21-2016 20:35,21-12-2016,08:35:00 PM,12:46:00 AM,0.77,Business,Unknown Location,Rawalpindi,12,15.7,Meeting
12-21-2016 20:56,21-12-2016,08:56:00 PM,12-21-2016 23:42,21-12-2016,11:42:00 PM,02:46:00 AM,2.77,Business,Rawalpindi,Unknown Location,103,37.2,Meeting
12-22-2016 15:40,22-12-2016,03:40:00 PM,12-22-2016 16:38,22-12-2016,04:38:00 PM,12:58:00 AM,0.97,Business,Unknown Location,Unknown Location,32.3,33.4,Meeting
12-22-2016 17:04,22-12-2016,05:04:00 PM,12-22-2016 17:20,22-12-2016,05:20:00 PM,12:16:00 AM,0.27,Business,Unknown Location,Unknown Location,5.3,19.9,Customer Visit
12-22-2016 17:27,22-12-2016,05:27:00 PM,12-22-2016 17:53,22-12-2016,05:53:00 PM,12:26:00 AM,0.43,Business,Unknown Location,Unknown Location,11.6,26.8,Meeting
12-22-2016 17:56,22-12-2016,05:56:00 PM,12-22-2016 18:29,22-12-2016,06:29:00 PM,12:33:00 AM,0.55,Business,Unknown Location,Unknown Location,23.2,42.2,Meeting
12-22-2016 18:31,22-12-2016,06:31:00 PM,12-22-2016 18:37,22-12-2016,06:37:00 PM,12:06:00 AM,0.10,Business,Unknown Location,Unknown Location,3.2,32.0,Errand/Supplies
12-22-2016 18:38,22-12-2016,06:38:00 PM,12-22-2016 18:47,22-12-2016,06:47:00 PM,12:09:00 AM,0.15,Business,Unknown Location,Unknown Location,12.3,82.0,Temporary Site
12-22-2016 19:04,22-12-2016,07:04:00 PM,12-22-2016 19:50,22-12-2016,07:50:00 PM,12:46:00 AM,0.77,Business,Unknown Location,Lahore,14,18.3,Meeting
12-22-2016 21:41,22-12-2016,09:41:00 PM,12-22-2016 21:53,22-12-2016,09:53:00 PM,12:12:00 AM,0.20,Business,Lahore,Lahore,2.1,10.5,Meal/Entertain
12-22-2016 23:27,22-12-2016,11:27:00 PM,12-22-2016 23:32,22-12-2016,11:32:00 PM,12:05:00 AM,0.08,Business,Lahore,Lahore,2.1,25.2,Customer Visit
12-23-2016 9:21,23-12-2016,09:21:00 AM,12-23-2016 9:41,23-12-2016,09:41:00 AM,12:20:00 AM,0.33,Business,Lahore,Lahore,3,9.0,Meeting
12-23-2016 11:33,23-12-2016,11:33:00 AM,12-23-2016 11:58,23-12-2016,11:58:00 AM,12:25:00 AM,0.42,Business,Lahore,Unknown Location,6.2,14.9,Meeting
12-23-2016 14:15,23-12-2016,02:15:00 PM,12-23-2016 15:25,23-12-2016,03:25:00 PM,01:10:00 AM,1.17,Business,Unknown Location,Unknown Location,9.6,8.2,Meeting
12-23-2016 16:23,23-12-2016,04:23:00 PM,12-23-2016 16:34,23-12-2016,04:34:00 PM,12:11:00 AM,0.18,Business,Unknown Location,Unknown Location,1.3,7.1,Errand/Supplies
12-23-2016 17:34,23-12-2016,05:34:00 PM,12-23-2016 18:27,23-12-2016,06:27:00 PM,12:53:00 AM,0.88,Business,Unknown Location,Lahore,7.1,8.0,Meal/Entertain
12-24-2016 7:43,24-12-2016,07:43:00 AM,12-24-2016 8:04,24-12-2016,08:04:00 AM,12:21:00 AM,0.35,Business,Lahore,Unknown Location,6.3,18.0,Meal/Entertain
12-24-2016 9:19,24-12-2016,09:19:00 AM,12-24-2016 9:55,24-12-2016,09:55:00 AM,12:36:00 AM,0.60,Business,Unknown Location,Lahore,10.7,17.8,Meal/Entertain
12-24-2016 10:34,24-12-2016,10:34:00 AM,12-24-2016 10:53,24-12-2016,10:53:00 AM,12:19:00 AM,0.32,Business,Lahore,Lahore,5.3,16.7,Meal/Entertain
12-24-2016 12:51,24-12-2016,12:51:00 PM,12-24-2016 12:53,24-12-2016,12:53:00 PM,12:02:00 AM,0.03,Business,Lahore,Lahore,1.6,48.0,Errand/Supplies
12-24-2016 13:08,24-12-2016,01:08:00 PM,12-24-2016 13:29,24-12-2016,01:29:00 PM,12:21:00 AM,0.35,Business,Lahore,Lahore,3.6,10.3,Errand/Supplies
